order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00865460,RETURN,SHIPPED,202921,Refunded,8/28/2019 2:13 am,137.92,,15426923H2983061N
AG-US-00865411,RETURN,SHIPPED,202940,Refunded,8/28/2019 12:59 pm,216,ch_1Emq4VJbAfK4zMcbqFHt1pJ1,
AG-US-00867401,RETURN,SHIPPED,202943,Refunded,8/28/2019 12:59 pm,170.82,ch_1EpNmqJbAfK4zMcbpX3cQpBK,
AG-US-00868084,RETURN,SHIPPED,202944,Refunded,8/28/2019 12:59 pm,158,ch_1EqkQSJbAfK4zMcbLU6iaVAU,
AG-US-00866095,RETURN,SHIPPED,202941,Refunded,8/28/2019 12:59 pm,147.74,ch_1EnXrDJbAfK4zMcbVlw8vgmB,
AG-US-00849784,RETURN,SHIPPED,202925,Refunded,8/28/2019 12:58 pm,136,,6UN429539S375124X
SO901270854,RETURN,SHIPPED,203057,Refunded,8/28/2019 1:09 pm,128.47,,
AG-US-00853832,RETURN,SHIPPED,202929,Refunded,8/28/2019 12:58 pm,128.03,ch_1EcGg8JbAfK4zMcbzKtMGQeO,
AG-US-00868223,RETURN,SHIPPED,202945,Refunded,8/28/2019 1:00 pm,124,ch_1EquVmJbAfK4zMcbTCIRBrOl,
AG-US-00824022,RETURN,SHIPPED,202923,Refunded,8/28/2019 12:58 pm,118,ch_1EDD9WJbAfK4zMcb786mM0W5,
AG-US-00852522,RETURN,SHIPPED,202926,Refunded,8/28/2019 12:58 pm,118,,7E5418947X5479454
AG-US-00854237,RETURN,SHIPPED,202930,Refunded,8/28/2019 12:58 pm,118,,05395371JH862351F
AG-US-00857750,RETURN,SHIPPED,202934,Refunded,8/28/2019 12:58 pm,118,,11W87366GT974890Y
AG-US-00857592,RETURN,SHIPPED,202958,Refunded,8/28/2019 1:00 pm,118,ch_1EfZ6QJbAfK4zMcb0W29XMW2,
AG-US-00858658,RETURN,SHIPPED,202960,Refunded,8/28/2019 1:01 pm,118,ch_1EgYVyJbAfK4zMcbfOJ5NiTL,
AG-US-00854244,RETURN,SHIPPED,202931,Refunded,8/28/2019 12:58 pm,108,,6YS016938X165290U
AG-US-00853769,RETURN,SHIPPED,202928,Refunded,8/28/2019 12:58 pm,106,ch_1EcErwJbAfK4zMcbpZdrCwkk,
AG-US-00841377,RETURN,SHIPPED,202936,Refunded,8/28/2019 12:59 pm,100.3,,90924476DM927424F
AG-US-00860545,RETURN,SHIPPED,202937,Refunded,8/28/2019 12:59 pm,100.3,ch_1Ei6HzJbAfK4zMcbx3HYrAx7,
AG-US-00857874,RETURN,SHIPPED,202959,Refunded,8/28/2019 1:01 pm,100.3,ch_1EfnLeJbAfK4zMcb8FkJFN7k,
AG-US-00860633,RETURN,SHIPPED,202989,Refunded,8/28/2019 1:03 pm,100.3,ch_1EiLSoJbAfK4zMcb7dUGN36u,
AG-US-00860806,RETURN,SHIPPED,202938,Refunded,8/28/2019 12:59 pm,83.3,ch_1EiRoSJbAfK4zMcbkxZNQe9a,
AG-US-00854378,RETURN,SHIPPED,202932,Refunded,8/28/2019 12:58 pm,78,ch_1EcfPqJbAfK4zMcbVRaVubvf,
AG-US-00848882,RETURN,SHIPPED,202924,Refunded,8/28/2019 12:58 pm,68,ch_1EYGa5JbAfK4zMcbwd7d8FW3,
AG-US-00867339,RETURN,SHIPPED,202942,Refunded,8/28/2019 12:59 pm,68,ch_1EpH1KJbAfK4zMcbTzuKzxFF,
AG-US-00854807,RETURN,SHIPPED,202933,Refunded,8/28/2019 12:58 pm,62.4,ch_1Ed0YgJbAfK4zMcbS0unB3Wb,
AG-US-00863482,RETURN,SHIPPED,202939,Refunded,8/28/2019 12:59 pm,57.8,ch_1ElDgTJbAfK4zMcbkbV2ObW1,
AG-US-00853410,RETURN,SHIPPED,202927,Refunded,8/28/2019 12:58 pm,54.4,,56U480802J5280118
AG-US-00859227,RETURN,SHIPPED,202935,Refunded,8/28/2019 12:59 pm,46,ch_1EgzXHJbAfK4zMcbzOatRoW6,
