order-no,order-status,shipping-status,rma-number,rma-status,return-date,refund-amount,stripe-charge-id,paypal-transaction-id
AG-US-00862426,RETURN,SHIPPED,203376,Refunded,9/7/2019 2:13 am,284,ch_1Ejt1LJbAfK4zMcbcHtS2X5o,
AG-US-00866531,RETURN,SHIPPED,203379,Refunded,9/7/2019 2:13 am,128,,8XY08984VP9996919
AG-US-00825725,RETURN,SHIPPED,203372,Refunded,9/7/2019 2:13 am,118,ch_1EENPkJbAfK4zMcbXoNncdFh,
AG-US-00860242,RETURN,SHIPPED,203374,Refunded,9/7/2019 2:13 am,118,ch_1EhuOsJbAfK4zMcbBeSA5DKm,
AG-US-00825725,RETURN,SHIPPED,203377,Refunded,9/7/2019 2:13 am,118,ch_1EENPkJbAfK4zMcbXoNncdFh,
AG-US-00825267,RETURN,SHIPPED,203385,Refunded,9/7/2019 2:14 am,117.72,ch_1EE8d1JbAfK4zMcbmGS79APu,
AG-US-00842414,RETURN,SHIPPED,203375,Refunded,9/7/2019 2:13 am,109.08,ch_1ESawIJbAfK4zMcbrESHNBw4,
AG-US-00778682,RETURN,SHIPPED,203370,Refunded,9/7/2019 2:13 am,108,ch_1DhjB6JbAfK4zMcbSKD9de9n,
AG-US-00867359,RETURN,SHIPPED,203380,Refunded,9/7/2019 2:13 am,108,ch_1EpJDQJbAfK4zMcbDMtKncV0,
AG-US-00865210,RETURN,SHIPPED,203378,Refunded,9/7/2019 2:13 am,73.27,,2CB30454H1754654V
AG-US-00841007,RETURN,SHIPPED,203371,Refunded,9/7/2019 2:13 am,68,,4RR7122035988630F
AG-US-00852639,RETURN,SHIPPED,203373,Refunded,9/7/2019 2:13 am,68,,0VC63144GR609102B
